symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
1WK24,M1,0.01,0.01,Buy,24-02-05,-1,Buy,Stop,Entry,1,598,TRUE,1,8
1WK24,M1,0.01,0.01,Buy,24-02-07,1,Sell,Stop,Target,0,608,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-08,-1,Buy,Stop,Entry,1,592.75,TRUE,1,11
1WK24,M1,0.01,0.01,Buy,24-02-08,-1,Sell,Stop,Target,0,607,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-12,1,Buy,Stop,Entry,1,591,TRUE,1,1
1WK24,M1,0.01,0.01,Buy,24-02-12,1,Sell,Stop,Target,0,604,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-22,1,Buy,Stop,Entry,1,576.75,TRUE,1,9
1WK24,M1,0.01,0.01,Buy,24-02-23,-1,Sell,Stop,Target,0,586,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-26,1,Buy,Stop,Entry,1,566.25,TRUE,1,25
1WK24,M1,0.01,0.01,Buy,24-02-28,-1,Sell,Stop,Target,0,575.25,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-11,1,Buy,Stop,Entry,1,528.25,TRUE,1,19
1WK24,M1,0.01,0.01,Buy,24-03-11,1,Sell,Stop,Target,0,549.5,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-13,-1,Buy,Stop,Entry,1,537.5,TRUE,1,3
1WK24,M1,0.01,0.01,Buy,24-03-13,-1,Sell,Stop,Target,0,552.25,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-14,-1,Buy,Stop,Entry,1,529.75,TRUE,1,6
1WK24,M1,0.01,0.01,Buy,24-03-14,-1,Sell,Stop,Target,0,539.25,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-18,1,Buy,Stop,Entry,1,530.25,TRUE,1,13
1WK24,M1,0.01,0.01,Buy,24-03-25,-1,Sell,Stop,Target,0,566.5,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-27,1,Buy,Stop,Entry,1,544,TRUE,1,22
1WK24,M1,0.01,0.01,Buy,24-03-28,1,Sell,Stop,Target,0,560.5,TRUE,1,NA
